Processed,ID,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Processed,3377,Wed Aug 06 10:39:15 CDT 2025,GET,http://localhost:3000/assets/public/images/products/melon_bike.jpeg,200,OK,6,431,21524,Medium,false,
Processed,3378,Wed Aug 06 10:39:15 CDT 2025,GET,http://localhost:3000/assets/public/images/products/fan_facemask.jpg,200,OK,4,431,26934,Medium,false,
Processed,3379,Wed Aug 06 10:39:15 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02MGf&sid=qNB87hPrSF8AhktBAAAV,200,OK,337,229,1,Medium,false,
Processed,3380,Wed Aug 06 10:39:17 CDT 2025,GET,http://localhost:3000/,304,Not Modified,5,393,0,Medium,false,
Processed,3381,Wed Aug 06 10:39:17 CDT 2025,GET,http://localhost:3000/runtime.js,304,Not Modified,5,391,0,Medium,false,
Processed,3382,Wed Aug 06 10:39:17 CDT 2025,GET,http://localhost:3000/polyfills.js,304,Not Modified,12,392,0,Medium,false,
Processed,3383,Wed Aug 06 10:39:17 CDT 2025,GET,http://localhost:3000/main.js,304,Not Modified,9,393,0,Medium,false,
Processed,3384,Wed Aug 06 10:39:17 CDT 2025,GET,http://localhost:3000/vendor.js,304,Not Modified,6,394,0,Medium,false,
Processed,3385,Wed Aug 06 10:39:19 CDT 2025,GET,http://localhost:3000/styles.css,304,Not Modified,10,393,0,Medium,false,
Processed,3386,Wed Aug 06 10:39:19 CDT 2025,GET,http://localhost:3000/assets/i18n/en.json,304,Not Modified,8,392,0,Medium,false,
Processed,3387,Wed Aug 06 10:39:19 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02NFc,200,OK,2,230,96,Low,false,
Processed,3388,Wed Aug 06 10:39:20 CDT 2025,GET,http://localhost:3000/rest/admin/application-version,304,Not Modified,16,304,0,Medium,false,
Processed,3389,Wed Aug 06 10:39:20 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,304,Not Modified,63,306,0,Medium,false,
Processed,3390,Wed Aug 06 10:39:20 CDT 2025,GET,http://localhost:3000/rest/admin/application-version,304,Not Modified,11,304,0,Medium,false,
Processed,3391,Wed Aug 06 10:39:20 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,200,OK,27,389,21730,Medium,false,
Processed,3392,Wed Aug 06 10:39:20 CDT 2025,GET,http://localhost:3000/rest/languages,304,Not Modified,180,306,0,Medium,false,
Processed,3393,Wed Aug 06 10:39:20 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,200,OK,78,389,21730,Medium,false,
Processed,3394,Wed Aug 06 10:39:20 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,304,Not Modified,130,306,0,Medium,false,
Processed,3395,Wed Aug 06 10:39:20 CDT 2025,GET,http://localhost:3000/assets/public/images/JuiceShop_Logo.png,304,Not Modified,4,393,0,Medium,false,
Processed,3396,Wed Aug 06 10:39:20 CDT 2025,GET,http://localhost:3000/api/Challenges/?name=Score%20Board,304,Not Modified,524,305,0,Medium,false,
Processed,3397,Wed Aug 06 10:39:20 CDT 2025,GET,http://localhost:3000/api/Challenges/?name=Score%20Board,200,OK,371,386,696,Medium,false,
Processed,3398,Wed Aug 06 10:39:21 CDT 2025,GET,http://localhost:3000/api/Quantitys/,304,Not Modified,66,306,0,Medium,false,
Processed,3399,Wed Aug 06 10:39:21 CDT 2025,GET,http://localhost:3000/rest/products/search?q=,304,Not Modified,26,306,0,Medium,false,
Processed,3400,Wed Aug 06 10:39:21 CDT 2025,POST,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02Nh4&sid=VB_Y5O-BeYYpT5cQAAAX,200,OK,6,213,2,Medium,false,
Processed,3401,Wed Aug 06 10:39:21 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02NhV&sid=VB_Y5O-BeYYpT5cQAAAX,200,OK,7,230,32,Medium,false,
Processed,3402,Wed Aug 06 10:39:21 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=websocket&sid=VB_Y5O-BeYYpT5cQAAAX,101,Switching Protocols,2,129,0,Medium,false,
Processed,3403,Wed Aug 06 10:39:22 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,304,Not Modified,21,306,0,Medium,false,
Processed,3404,Wed Aug 06 10:39:22 CDT 2025,GET,http://localhost:3000/assets/public/images/products/apple_juice.jpg,304,Not Modified,8,392,0,Medium,false,
Processed,3405,Wed Aug 06 10:39:22 CDT 2025,GET,http://localhost:3000/assets/public/images/products/apple_pressings.jpg,304,Not Modified,5,392,0,Medium,false,
Processed,3406,Wed Aug 06 10:39:22 CDT 2025,GET,http://localhost:3000/assets/public/images/products/banana_juice.jpg,304,Not Modified,11,392,0,Medium,false,
Processed,3407,Wed Aug 06 10:39:22 CDT 2025,GET,http://localhost:3000/assets/public/images/products/artwork2.jpg,304,Not Modified,3,392,0,Medium,false,
Processed,3408,Wed Aug 06 10:39:23 CDT 2025,GET,http://localhost:3000/assets/public/images/products/carrot_juice.jpeg,304,Not Modified,9,392,0,Medium,false,
Processed,3409,Wed Aug 06 10:39:23 CDT 2025,GET,http://localhost:3000/assets/public/images/products/green_smoothie.jpg,304,Not Modified,17,392,0,Medium,false,
Processed,3410,Wed Aug 06 10:39:23 CDT 2025,GET,http://localhost:3000/assets/public/images/products/eggfruit_juice.jpg,304,Not Modified,16,392,0,Medium,false,
Processed,3411,Wed Aug 06 10:39:23 CDT 2025,GET,http://localhost:3000/assets/public/images/products/lemon_juice.jpg,304,Not Modified,12,392,0,Medium,false,
Processed,3412,Wed Aug 06 10:39:23 CDT 2025,GET,http://localhost:3000/assets/public/images/products/fruit_press.jpg,304,Not Modified,6,392,0,Medium,false,
Processed,3413,Wed Aug 06 10:39:23 CDT 2025,GET,http://localhost:3000/assets/public/images/products/permafrost.jpg,304,Not Modified,15,393,0,Medium,false,
Processed,3414,Wed Aug 06 10:39:23 CDT 2025,GET,http://localhost:3000/assets/public/images/products/melon_bike.jpeg,304,Not Modified,5,392,0,Medium,false,
Processed,3415,Wed Aug 06 10:39:23 CDT 2025,GET,http://localhost:3000/assets/public/images/products/fan_facemask.jpg,304,Not Modified,12,392,0,Medium,false,
Processed,3416,Wed Aug 06 10:39:23 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02O5N&sid=VB_Y5O-BeYYpT5cQAAAX,200,OK,244,229,1,Medium,false,
Out of Scope,3417,Wed Aug 06 10:39:25 CDT 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,3418,Wed Aug 06 10:39:26 CDT 2025,GET,https://www.youtube.com/watch?v=9PnbKL3wuH4,403,Forbidden,0,130,40,,false,
Out of Scope,3419,Wed Aug 06 10:39:28 CDT 2025,GET,https://www.youtube.com/favicon.ico,403,Forbidden,0,130,40,,false,
Out of Scope,3420,Wed Aug 06 10:39:33 CDT 2025,GET,https://www.youtube.com/watch?v=9PnbKL3wuH4,403,Forbidden,0,130,40,,false,
Out of Scope,3421,Wed Aug 06 10:39:37 CDT 2025,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=115.13&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,3422,Wed Aug 06 10:39:38 CDT 2025,GET,https://owasp.org/,403,Forbidden,0,130,40,,false,
Out of Scope,3423,Wed Aug 06 10:39:38 CDT 2025,GET,https://owasp.org/favicon.ico,403,Forbidden,0,130,40,,false,
Processed,3424,Wed Aug 06 10:39:41 CDT 2025,GET,http://localhost:3000/,200,OK,29,469,80117,Medium,false,
Processed,3425,Wed Aug 06 10:39:42 CDT 2025,GET,http://localhost:3000/runtime.js,200,OK,6,479,3315,Medium,false,
Processed,3426,Wed Aug 06 10:39:42 CDT 2025,GET,http://localhost:3000/polyfills.js,200,OK,11,481,34840,Medium,false,
Processed,3427,Wed Aug 06 10:39:42 CDT 2025,GET,http://localhost:3000/main.js,200,OK,30,483,457995,Medium,false,
Processed,3428,Wed Aug 06 10:39:42 CDT 2025,GET,http://localhost:3000/vendor.js,200,OK,80,485,1622583,Medium,false,
Processed,3429,Wed Aug 06 10:39:42 CDT 2025,GET,http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.css,200,OK,201,906,4064,Medium,false,
Processed,3430,Wed Aug 06 10:39:42 CDT 2025,GET,http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js,200,OK,182,917,20808,Medium,false,
Processed,3431,Wed Aug 06 10:39:42 CDT 2025,GET,http://cdnjs.cloudflare.com/ajax/libs/jquery/2.2.4/jquery.min.js,200,OK,221,923,85578,Medium,false,
Processed,3432,Wed Aug 06 10:39:43 CDT 2025,GET,http://localhost:3000/assets/public/favicon_js.ico,200,OK,9,456,15086,Medium,false,
Out of Scope,3433,Wed Aug 06 10:39:43 CDT 2025,GET,https://owasp.org/,403,Forbidden,0,130,40,,false,
Processed,3434,Wed Aug 06 10:39:45 CDT 2025,GET,http://localhost:3000/styles.css,200,OK,29,469,685248,Medium,false,
Processed,3435,Wed Aug 06 10:39:46 CDT 2025,GET,http://localhost:3000/assets/i18n/en.json,200,OK,11,475,32473,Medium,false,
Processed,3436,Wed Aug 06 10:39:46 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02TlP,200,OK,5,230,96,Low,false,
Processed,3437,Wed Aug 06 10:39:46 CDT 2025,GET,http://localhost:3000/,304,Not Modified,4,393,0,Medium,false,
Processed,3438,Wed Aug 06 10:39:47 CDT 2025,GET,http://localhost:3000/runtime.js,304,Not Modified,11,391,0,Medium,false,
Processed,3439,Wed Aug 06 10:39:47 CDT 2025,GET,http://localhost:3000/vendor.js,304,Not Modified,4,394,0,Medium,false,
Processed,3440,Wed Aug 06 10:39:47 CDT 2025,GET,http://localhost:3000/main.js,304,Not Modified,10,393,0,Medium,false,
Processed,3441,Wed Aug 06 10:39:47 CDT 2025,GET,http://localhost:3000/polyfills.js,304,Not Modified,5,392,0,Medium,false,
Processed,3442,Wed Aug 06 10:39:47 CDT 2025,GET,http://localhost:3000/styles.css,304,Not Modified,9,393,0,Medium,false,
Processed,3443,Wed Aug 06 10:39:47 CDT 2025,GET,http://localhost:3000/rest/admin/application-version,200,OK,13,384,20,Medium,false,
Processed,3444,Wed Aug 06 10:39:47 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,200,OK,22,389,21730,Medium,false,
Processed,3445,Wed Aug 06 10:39:47 CDT 2025,GET,http://localhost:3000/rest/admin/application-version,304,Not Modified,12,304,0,Medium,false,
Processed,3446,Wed Aug 06 10:39:47 CDT 2025,GET,http://localhost:3000/api/Challenges/?name=Score%20Board,200,OK,110,386,696,Medium,false,
Processed,3447,Wed Aug 06 10:39:47 CDT 2025,GET,http://localhost:3000/rest/languages,200,OK,161,388,4719,Medium,false,
Processed,3448,Wed Aug 06 10:39:47 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,304,Not Modified,138,306,0,Medium,false,
Processed,3449,Wed Aug 06 10:39:47 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,200,OK,21,389,21730,Medium,false,
Processed,3450,Wed Aug 06 10:39:47 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,200,OK,20,389,21730,Medium,false,
Processed,3451,Wed Aug 06 10:39:47 CDT 2025,GET,http://localhost:3000/api/Challenges/?name=Score%20Board,200,OK,343,386,696,Medium,false,
Processed,3452,Wed Aug 06 10:39:48 CDT 2025,GET,http://localhost:3000/assets/public/images/JuiceShop_Logo.png,200,OK,16,431,75029,Medium,false,
Processed,3453,Wed Aug 06 10:39:48 CDT 2025,GET,http://localhost:3000/rest/products/search?q=,200,OK,56,389,13644,Medium,false,
Processed,3454,Wed Aug 06 10:39:48 CDT 2025,GET,http://localhost:3000/api/Quantitys/,200,OK,136,388,6258,Medium,false,
Processed,3455,Wed Aug 06 10:39:49 CDT 2025,GET,http://localhost:3000/MaterialIcons-Regular.woff2,200,OK,8,431,60840,Medium,false,
Processed,3456,Wed Aug 06 10:39:50 CDT 2025,POST,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02Ubh&sid=-FkbgB3pDPQ3KETFAAAZ,200,OK,4,213,2,Medium,false,
Processed,3457,Wed Aug 06 10:39:50 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02UcI&sid=-FkbgB3pDPQ3KETFAAAZ,200,OK,9,230,32,Medium,false,
Processed,3458,Wed Aug 06 10:39:50 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=websocket&sid=-FkbgB3pDPQ3KETFAAAZ,101,Switching Protocols,6,129,0,Medium,false,
Processed,3459,Wed Aug 06 10:39:51 CDT 2025,GET,http://localhost:3000/assets/i18n/en.json,304,Not Modified,6,392,0,Medium,false,
Processed,3460,Wed Aug 06 10:39:51 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02UyN,200,OK,10,230,96,Low,false,
Processed,3461,Wed Aug 06 10:39:52 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,304,Not Modified,17,306,0,Medium,false,
Processed,3462,Wed Aug 06 10:39:52 CDT 2025,GET,http://localhost:3000/rest/admin/application-version,304,Not Modified,9,304,0,Medium,false,
Processed,3463,Wed Aug 06 10:39:52 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,304,Not Modified,13,306,0,Medium,false,
Processed,3464,Wed Aug 06 10:39:52 CDT 2025,GET,http://localhost:3000/rest/languages,200,OK,106,388,4719,Medium,false,
Processed,3465,Wed Aug 06 10:39:52 CDT 2025,GET,http://localhost:3000/rest/admin/application-version,304,Not Modified,72,304,0,Medium,false,
Processed,3466,Wed Aug 06 10:39:52 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,304,Not Modified,28,306,0,Medium,false,
Processed,3467,Wed Aug 06 10:39:52 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,200,OK,34,389,21730,Medium,false,
Processed,3468,Wed Aug 06 10:39:52 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,200,OK,42,389,21730,Medium,false,
Processed,3469,Wed Aug 06 10:39:52 CDT 2025,GET,http://localhost:3000/assets/public/images/products/apple_juice.jpg,200,OK,11,431,15291,Medium,false,
Processed,3470,Wed Aug 06 10:39:52 CDT 2025,GET,http://localhost:3000/assets/public/images/products/apple_pressings.jpg,200,OK,32,431,29163,Medium,false,
Processed,3471,Wed Aug 06 10:39:52 CDT 2025,GET,http://localhost:3000/api/Challenges/?name=Score%20Board,304,Not Modified,490,305,0,Medium,false,
Out of Scope,3472,Wed Aug 06 10:39:52 CDT 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Processed,3473,Wed Aug 06 10:39:52 CDT 2025,GET,http://localhost:3000/api/Challenges/?name=Score%20Board,200,OK,347,386,696,Medium,false,
Processed,3474,Wed Aug 06 10:39:52 CDT 2025,GET,http://localhost:3000/assets/public/images/products/banana_juice.jpg,200,OK,7,431,19833,Medium,false,
Processed,3475,Wed Aug 06 10:39:53 CDT 2025,GET,http://localhost:3000/assets/public/images/products/artwork2.jpg,200,OK,11,431,35878,Medium,false,
Processed,3476,Wed Aug 06 10:39:53 CDT 2025,GET,http://localhost:3000/assets/public/images/products/carrot_juice.jpeg,200,OK,11,431,19001,Medium,false,
Processed,3477,Wed Aug 06 10:39:53 CDT 2025,GET,http://localhost:3000/assets/public/images/products/fruit_press.jpg,200,OK,10,431,17080,Medium,false,
Processed,3478,Wed Aug 06 10:39:53 CDT 2025,GET,http://localhost:3000/assets/public/images/products/eggfruit_juice.jpg,200,OK,4,431,15072,Medium,false,
Processed,3479,Wed Aug 06 10:39:53 CDT 2025,GET,http://localhost:3000/assets/public/images/products/green_smoothie.jpg,200,OK,19,431,15910,Medium,false,
Processed,3480,Wed Aug 06 10:39:53 CDT 2025,GET,http://localhost:3000/assets/public/images/JuiceShop_Logo.png,304,Not Modified,18,393,0,Medium,false,
Processed,3481,Wed Aug 06 10:39:53 CDT 2025,GET,http://localhost:3000/assets/public/images/products/permafrost.jpg,200,OK,27,432,93641,Medium,false,
Processed,3482,Wed Aug 06 10:39:53 CDT 2025,GET,http://localhost:3000/assets/public/images/products/fan_facemask.jpg,200,OK,32,431,26934,Medium,false,
Processed,3483,Wed Aug 06 10:39:53 CDT 2025,GET,http://localhost:3000/assets/public/images/products/lemon_juice.jpg,200,OK,23,431,17038,Medium,false,
Processed,3484,Wed Aug 06 10:39:53 CDT 2025,GET,http://localhost:3000/assets/public/images/products/melon_bike.jpeg,200,OK,49,431,21524,Medium,false,
Processed,3485,Wed Aug 06 10:39:53 CDT 2025,GET,http://localhost:3000/rest/products/search?q=,304,Not Modified,85,306,0,Medium,false,
Processed,3486,Wed Aug 06 10:39:53 CDT 2025,GET,http://localhost:3000/api/Quantitys/,304,Not Modified,137,306,0,Medium,false,
Processed,3487,Wed Aug 06 10:39:54 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02VW4&sid=-FkbgB3pDPQ3KETFAAAZ,200,OK,202,229,1,Medium,false,
Processed,3488,Wed Aug 06 10:39:54 CDT 2025,POST,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02VgJ&sid=nA7Wl6PlDtFyzQpuAAAb,200,OK,7,213,2,Medium,false,
Processed,3489,Wed Aug 06 10:39:54 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02VhZ&sid=nA7Wl6PlDtFyzQpuAAAb,200,OK,13,230,32,Medium,false,
Processed,3490,Wed Aug 06 10:39:54 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=websocket&sid=nA7Wl6PlDtFyzQpuAAAb,101,Switching Protocols,2,129,0,Medium,false,
Processed,3491,Wed Aug 06 10:39:54 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02Vfs&sid=-FkbgB3pDPQ3KETFAAAZ,200,OK,86,229,1,Medium,false,
Processed,3492,Wed Aug 06 10:39:56 CDT 2025,GET,http://localhost:3000/rest/admin/application-configuration,304,Not Modified,21,306,0,Medium,false,
Processed,3493,Wed Aug 06 10:39:57 CDT 2025,GET,http://localhost:3000/assets/public/images/products/apple_juice.jpg,304,Not Modified,4,392,0,Medium,false,
Processed,3494,Wed Aug 06 10:39:57 CDT 2025,GET,http://localhost:3000/assets/public/images/products/apple_pressings.jpg,304,Not Modified,4,392,0,Medium,false,
Processed,3495,Wed Aug 06 10:39:57 CDT 2025,GET,http://localhost:3000/assets/public/images/products/banana_juice.jpg,304,Not Modified,12,392,0,Medium,false,
Processed,3496,Wed Aug 06 10:39:57 CDT 2025,GET,http://localhost:3000/assets/public/images/products/artwork2.jpg,304,Not Modified,5,392,0,Medium,false,
Processed,3497,Wed Aug 06 10:39:57 CDT 2025,GET,http://localhost:3000/assets/public/images/products/carrot_juice.jpeg,304,Not Modified,4,392,0,Medium,false,
Processed,3498,Wed Aug 06 10:39:57 CDT 2025,GET,http://localhost:3000/assets/public/images/products/eggfruit_juice.jpg,304,Not Modified,10,392,0,Medium,false,
Processed,3499,Wed Aug 06 10:39:57 CDT 2025,GET,http://localhost:3000/assets/public/images/products/fruit_press.jpg,304,Not Modified,10,392,0,Medium,false,
Processed,3500,Wed Aug 06 10:39:57 CDT 2025,GET,http://localhost:3000/assets/public/images/products/green_smoothie.jpg,304,Not Modified,3,392,0,Medium,false,
Processed,3501,Wed Aug 06 10:39:57 CDT 2025,GET,http://localhost:3000/assets/public/images/products/permafrost.jpg,304,Not Modified,5,393,0,Medium,false,
Processed,3502,Wed Aug 06 10:39:57 CDT 2025,GET,http://localhost:3000/assets/public/images/products/lemon_juice.jpg,304,Not Modified,4,392,0,Medium,false,
Processed,3503,Wed Aug 06 10:39:57 CDT 2025,GET,http://localhost:3000/assets/public/images/products/melon_bike.jpeg,304,Not Modified,7,392,0,Medium,false,
Processed,3504,Wed Aug 06 10:39:57 CDT 2025,GET,http://localhost:3000/assets/public/images/products/fan_facemask.jpg,304,Not Modified,19,392,0,Medium,false,
Processed,3505,Wed Aug 06 10:39:57 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02WWI&sid=nA7Wl6PlDtFyzQpuAAAb,200,OK,553,229,1,Medium,false,
Processed,3506,Wed Aug 06 10:39:58 CDT 2025,GET,http://localhost:3000/socket.io/?EIO=4&transport=polling&t=PY02Whg&sid=nA7Wl6PlDtFyzQpuAAAb,200,OK,46,229,1,Medium,false,
Out of Scope,3507,Wed Aug 06 10:40:01 CDT 2025,GET,https://www.youtube.com/watch?v=9PnbKL3wuH4,403,Forbidden,0,130,40,,false,
Out of Scope,3508,Wed Aug 06 10:40:05 CDT 2025,GET,https://owasp-juice.shop/,403,Forbidden,0,130,40,,false,
Out of Scope,3509,Wed Aug 06 10:40:05 CDT 2025,GET,https://owasp-juice.shop/favicon.ico,403,Forbidden,0,130,40,,false,
